English Words,French Words,Frequency
project,projet,248
world,monde,701
library,bibliothèque,230
their,leur,2089
often,souvent,127
public,Publique,56
certain,certain,153
copyright,droits d'auteur,227
version,version,220
complete,Achevée,241
works,travaux,223
provided,à condition de,248
college,Université,223
permission,autorisation,221
machine,machine,222
readable,lisible,223
copies,copies,441
distributed,distribué,441
others,autres,327
personal,personnel,221
prohibited,interdit,220
commercial,commercial,220
includes,comprend,220
service,un service,297
download,Télécharger,220
proud,fier,185
entertainment,divertissement,25
neither,ni,161
under,sous,295
welcome,Bienvenue,307
plain,plaine,112
since,depuis,197
hundred,cent,114
further,plus loin,155
below,au dessous de,43
number,nombre,71
letter,lettre,266
would,aurait,2276
about,sur,369
thank,remercier,349
midnight,minuit,35
month,mois,55
written,écrit,33
title,Titre,91
which,lequel,2301
paper,papier,79
other,autre,685
please,S'il vous plaît,37
point,point,126
general,général,168
small,petit,20
effect,effet,64
reputation,réputation,37
right,droite,276
condition,état,49
although,bien que,77
cannot,ne peux pas,750
party,fête,44
receive,recevoir,101
within,dans,338
money,argent,151
return,revenir,177
express,Express,2
particular,particulier,57
purpose,objectif,65
above,au dessus,125
cause,cause,77
freely,librement,43
think,pense,1017
write,écrire,132
creature,créature,75
might,pourrait,473
never,jamais,997
tender,soumissionner,132
bright,brillant,58
making,fabrication,78
where,où,1209
grave,la tombe,119
winter,hiver,50
worth,vaut,181
being,étant,656
beauty,beauté,179
shame,la honte,95
child,enfant,151
shall,doit,603
count,compter,100
blood,du sang,452
repair,réparation,40
lovely,charmant,50
through,par,254
window,la fenêtre,42
golden,d'or,90
image,image,47
nothing,rien,564
large,grand,62
given,donné,181
great,génial,864
having,ayant,154
nature,la nature,304
leave,laisser,645
gentle,doux,361
frame,Cadre,38
every,chaque,490
dwell,habiter,43
tyrant,tyran,46
quite,assez,74
flower,fleur,48
though,bien que,623
willing,prêt,35
breed,race,60
another,un autre,388
could,pourrait,615
death,décès,543
living,vivant,106
light,lumière,248
burning,brûlant,40
majesty,majesté,78
youth,jeunesse,208
mortal,mortel,92
weary,se lasser,69
feeble,faible,32
sweet,sucré,194
delight,délice,47
offend,offenser,60
chide,gronder,49
strike,la grève,62
happy,heureux,193
prove,prouver,248
widow,veuve,104
private,privé,61
spend,dépenser,7
place,endroit,330
enjoy,prendre plaisir,43
toward,vers,166
grant,subvention,106
chief,chef,106
change,changement,152
thought,pensée,457
wisdom,sagesse,29
without,sans pour autant,358
folly,folie,63
bounty,prime,35
meant,signifiait,45
brave,courageux,158
behold,voir,143
barren,Dénudé,38
green,vert,85
borne,supporté,72
longer,plus long,94
yours,le tiens,95
coming,venir,115
again,encore,459
after,après,382
eternal,éternel,35
father,père,667
fortune,fortune,318
brief,bref,77
thunder,tonnerre,53
prince,prince,757
heaven,paradis,572
knowledge,connaissance,66
truth,vérité,256
together,ensemble,168
thrive,prospérer,46
thing,chose,559
little,peu,452
nought,néant,48
shows,montre,6
perceive,apercevoir,90
before,avant,760
maiden,jeune fille,45
garden,jardin,41
painted,peint,50
outward,vers l'extérieur,48
drawn,tiré,75
believe,croyez,224
parts,les pièces,31
alive,vivant,60
twice,deux fois,65
rough,rugueux,59
sometime,parfois,35
complexion,complexion,36
chance,chance,96
blunt,cru,55
earth,Terre,199
pluck,cueillir,118
teeth,les dents,37
fierce,féroce,37
forbid,interdire,56
there,Là,1605
heart,cœur,808
acquainted,connaissance,35
object,objet,38
woman,femme,263
wrought,forgé,34
truly,vraiment,156
elder,aîné,34
therefore,par conséquent,614
bearing,palier,65
trust,confiance,27
forget,oublier,84
perfect,parfait,46
plead,plaider,45
tongue,langue,333
learn,apprendre,83
painter,peintre,43
table,table,57
wherein,où,129
hanging,pendaison,33
shape,forme,25
breast,Sein,21
therein,la bride,50
cunning,ruse,68
grace,la grâce,467
favour,favoriser,105
triumph,triomphe,44
pride,fierté,78
frown,froncer les sourcils,44
glory,gloire,71
merit,mérite,47
naked,nu,49
apparel,vêtements,35
begin,commencer,136
intend,avoir l'intention,57
blind,aveugle,64
sight,vue,46
jewel,bijou,67
black,noir,147
night,nuit,467
limbs,membres,14
quiet,silencieux,65
benefit,avantage,35
farther,plus loin,35
flatter,flatter,41
alone,seul,143
trouble,difficulté,75
friend,ami,451
wealth,richesse,62
drown,noyer,45
grieve,pleurer,58
account,Compte,38
while,tandis que,288
reign,règne,49
loving,aimant,110
buried,enterré,44
grown,grandi,56
birth,naissance,54
brought,apporté,192
march,Mars,99
better,mieux,562
morning,Matin,99
disgrace,disgrâce,12
early,de bonne heure,43
stain,tache,10
forth,en avant,291
rotten,pourri,34
enough,assez,244
wound,blessure,99
repent,se repentir,47
cross,traverser,6
fault,faute,172
bring,apporter,485
lawful,légitime,57
civil,civil,46
thief,voleur,49
spite,dépit,13
comfort,confort,179
whether,qu'il s'agisse,95
argument,argument,53
manner,manière,104
entertain,divertir,36
hence,Par conséquent,262
loves,aime,22
blame,faire des reproches,64
grief,douleur,174
wrong,faux,194
known,connu,162
pretty,jolie,113
liberty,liberté,36
follow,suivre,322
found,a trouvé,199
sleep,sommeil,89
dream,rêver,105
clear,clair,52
heavy,lourd,154
matter,matière,260
stand,supporter,177
water,eau,125
attend,assister,121
tears,larmes,78
motion,mouvement,74
until,jusqu'à,75
health,santé,85
picture,image,37
either,Soit,158
awake,éveillé,60
dearest,très cher,3
whence,d'où,73
prize,prix,45
greet,saluer,50
guard,garde,120
teach,enseigner,98
weight,poids,39
wretch,misérable,38
anger,colère,45
